视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100%,0,0%,0,0%,0,0%,0,0%,0,0%,-
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,106,25%,1.90%,3.8星,4.4星,3.3星,60%,50%,100%,0%,0%,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2.50%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,1041,92.80%,4.50%,4.5星,4.4星,4.5星,36.20%,37.50%,36.10%,2.60%,0%,5.50%,0,0%,0,15,1.40%,6,0.60%,0,0%,4,0.40%,0,0%,2,0.20%,59.40%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,318,88.80%,9%,3.2星,4.2星,3.2星,42.30%,18.80%,45.60%,9.80%,21.40%,8.10%,0,0%,0,5,1.60%,0,0%,0,0%,14,4.40%,0,0%,5,1.60%,55.70%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,208,94.50%,7%,4.2星,4.6星,4.2星,26.70%,16.70%,27.30%,1.50%,0%,1.60%,0,0%,1,2,1%,0,0%,0,0%,1,0.50%,0,0%,0,0%,43.40%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,1999,99.40%,6.40%,4.7星,4.8星,4.8星,18.60%,29.40%,18.50%,5.50%,27.30%,5.20%,13,0.70%,0,41,2.10%,1,<0.1%,0,0%,67,3.40%,0,0%,4,0.20%,41.40%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,184,90%,11.50%,2.9星,4.1星,2.9星,47.40%,50%,47.10%,7.20%,5.50%,8.10%,0,0%,0,3,1.60%,0,0%,0,0%,8,4.30%,0,0%,2,1.10%,44.50%
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,198,94.30%,5.80%,4.5星,3.7星,4.5星,34.40%,20%,35.30%,11.30%,22.20%,8.10%,2,1.30%,0,7,3.50%,0,0%,0,0%,14,7.10%,0,0%,2,1%,56.80%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,127,87.20%,10.30%,3.1星,4.4星,3.1星,43.80%,55.50%,42%,4%,6.30%,4.60%,2,1.80%,0,4,3.10%,0,0%,0,0%,1,0.80%,0,0%,0,0%,19.60%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,186,90.90%,9.60%,3.8星,4.1星,3.8星,41.80%,52.90%,40.60%,5%,0%,5.70%,4,2.50%,0,3,1.60%,0,0%,0,0%,5,2.70%,0,0%,1,0.50%,55.60%
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,479,94%,12.8%,4星,3.4星,4.1星,42%,40.7%,42.1%,10.8%,4.5%,10.5%,18,5.2%,0,15,3.1%,0,0%,0,0%,34,7.1%,0,0%,6,1.3%,52.3%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,115,95.5%,3.2%,3.8星,3.6星,3.9星,44.6%,57.1%,43.9%,3.5%,0%,3.8%,2,1.9%,0,1,0.9%,0,0%,0,0%,3,2.6%,0,0%,0,0%,43.8%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,32,76.7%,4.5%,3.4星,2星,3.6星,29.4%,40%,25%,10%,0%,13%,0,0%,0,2,6.3%,0,0%,0,0%,0,0%,0,0%,1,3.1%,17.9%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,123,92.4%,3.2%,4.3星,4.4星,4.3星,40.8%,20%,42.6%,4.1%,0%,4.6%,0,0%,0,2,1.6%,0,0%,0,0%,3,2.4%,0,0%,0,0%,52.5%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,38,94.3%,1.3%,2.5星,2星,2.6星,28.9%,40%,27.3%,15.8%,0%,17.6%,0,0%,0,5,13.2%,0,0%,0,0%,1,2.6%,0,0%,0,0%,30.1%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,111,92.6%,4.5%,4.1星,4.8星,3.9星,46.5%,30%,48.1%,11.7%,37.5%,9.9%,0,0%,0,4,3.6%,0,0%,0,0%,8,7.2%,0,0%,1,0.9%,61.8%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,69,83.9%,4.5%,4.3星,4星,4.3星,29.3%,40%,27.1%,21.2%,22.2%,16.7%,1,2.1%,0,1,1.4%,0,0%,0,0%,9,13%,0,0%,5,7.2%,44.5%
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,134,94.7%,4.5%,2.9星,3.3星,3星,43.8%,37.5%,44.2%,1.5%,14.3%,0.8%,0,0%,0,1,0.7%,0,0%,0,0%,1,0.7%,0,0%,0,0%,17%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,138,92.7%,5.8%,2.2星,2星,2.4星,62.7%,26.7%,66.9%,2.2%,10%,2.4%,0,0%,0,2,1.4%,0,0%,0,0%,1,0.7%,0,0%,0,0%,21.4%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,219,90.6%,11.5%,3.7星,2星,3.8星,42.7%,30%,44%,8.3%,5%,8.8%,5,2.6%,0,4,1.8%,0,0%,0,0%,11,5%,0,0%,3,1.4%,62.6%
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,37,93.9%,1.3%,3.1星,2星,3.2星,12.1%,25%,10.3%,31.4%,50%,31.3%,0,0%,0,9,24.3%,0,0%,0,0%,2,5.4%,0,0%,1,2.7%,34.8%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,138,91.6%,6.4%,4.6星,4.8星,4.4星,50.7%,33.3%,52.4%,13.1%,0%,16.3%,1,0.8%,0,7,5.1%,0,0%,0,0%,8,5.8%,2,1.4%,1,0.7%,44.5%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,276,95.5%,7%,3.9星,3.7星,3.9星,41.6%,30.8%,42.2%,9.5%,8.3%,9.9%,1,0.4%,0,7,2.5%,0,0%,0,0%,15,5.4%,0,0%,4,1.4%,44.6%
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,437,95.5%,12.2%,4.3星,3.9星,4.4星,51.6%,57.1%,51.4%,9.5%,0%,9.8%,8,2%,0,6,1.4%,0,0%,0,0%,21,4.8%,2,0.5%,12,2.7%,61.7%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,127,98.4%,1.3%,2星,2星,2星,58.8%,40%,59.5%,4.7%,0%,4.8%,0,0%,0,5,3.9%,0,0%,0,0%,1,0.8%,0,0%,0,0%,16.1%
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,193,94.6%,6.4%,3.3星,3.5星,3.3星,47%,30%,47.9%,8.4%,0%,9.1%,2,1.1%,0,10,5.2%,0,0%,0,0%,6,3.1%,0,0%,0,0%,61.7%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,143,90.5%,8.3%,2.9星,2星,3.1星,49.3%,57.1%,48.5%,10.6%,30.8%,11.2%,1,0.8%,0,6,4.2%,0,0%,0,0%,6,4.2%,0,0%,3,2.1%,51.9%
本周 GitHub 榜单上，AI 智能体项目占了七成！superpowers 快二十万星，skills 近九万星，agentmemory 给 AI 加记忆。,2026年05月18日 13:07:58,1174,98.2%,10.9%,4星,4.7星,4星,53.4%,57.6%,53.3%,15.5%,0%,15.7%,79,7.1%,0,39,3.3%,0,0%,0,0%,107,9.1%,10,0.9%,27,2.3%,49.9%
今天 GitHub 一天涨了将近 1700 颗星的是什么项目？,2026年05月18日 12:11:13,173,91.6%,8.3%,2.2星,3.3星,2.3星,44.7%,40%,45.1%,5.9%,0%,7.2%,3,2%,0,3,1.7%,0,0%,0,0%,6,3.5%,0,0%,1,0.6%,64.7%
62%的企业试了AI Agent，但规模化不到10%——中间藏着一个万亿级机会,2026年05月18日 09:00:33,126,92.8%,5.1%,2.8星,4.4星,2.8星,53%,50%,53.2%,2.4%,0%,2.6%,0,0%,0,2,1.6%,0,0%,0,0%,1,0.8%,0,0%,0,0%,20.4%
8.3万亿市场，大厂不愿碰，3亿老人在等你,2026年05月17日 21:26:30,10,44.5%,3.2%,4.9星,5星,2星,30.8%,33.3%,28.6%,26.7%,0%,40%,0,0%,0,2,20%,0,0%,0,0%,0,0%,0,0%,0,0%,15.1%
WiFi信号能看穿墙壁！这不是科幻电影 最近发现一个叫RuView的开源项目，用WiFi路由器的无线电波就能感知人体,2026年05月17日 12:31:44,172,97.1%,3.2%,3.5星,2星,3.6星,48.3%,40%,48.5%,1.2%,0%,1.2%,0,0%,0,0,0%,0,0%,0,0%,2,1.2%,0,0%,0,0%,54.7%
?? 你家的WiFi路由器，可能比你想象的更"聪明"硬件成本只要9美元，58K Star值得关注你觉得这个技术未来会用在哪里？,2026年05月17日 11:56:27,96,95.8%,2.6%,3.9星,2星,4星,48.6%,80%,47%,1%,0%,1.1%,0,0%,0,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,55%
本周 GitHub 涨星最猛的 15 个开源项目，AI 直接霸榜了,2026年05月17日 09:52:25,179,96.1%,4.5%,4.2星,2星,4.3星,42.4%,28.6%,42.9%,3.4%,14.3%,3.5%,0,0%,0,2,1.1%,0,0%,0,0%,4,2.2%,0,0%,0,0%,51.4%
今天 GitHub 八个项目涨星最猛，AI 工具直接霸榜了,2026年05月17日 09:44:45,156,97.4%,2.6%,3.3星,3星,3.4星,55.5%,25%,56.3%,2.6%,0%,2.7%,1,0.7%,0,2,1.3%,0,0%,0,0%,2,1.3%,0,0%,0,0%,57%
很多人不知道，GitHub 上有个项目，用 WiFi 信号就能实现空间感知，不需要摄像头。还有一个 19 万星的智能体,2026年05月16日 09:02:29,265,98%,3.2%,4.8星,4.6星,4.9星,39.5%,40%,39.5%,4.2%,0%,4.4%,1,0.4%,0,6,2.3%,0,0%,0,0%,5,1.9%,0,0%,0,0%,38.2%
注意了 ?? 今天 GitHub 上这几个项目涨星特别猛,2026年05月15日 11:20:23,139,100%,0%,3.6星,2星,3.7星,52.1%,100%,51.7%,3.7%,0%,3.8%,0,0%,0,3,2.2%,0,0%,0,0%,2,1.4%,0,0%,0,0%,67.8%
GitHub今日热门开源项目速览  50万Star的编程宝库 + AI智能体框架 + 开源游戏引擎  关注我每天带你发现好项目,2026年05月13日 09:18:13,176,98.8%,2.3%,3.1星,2星,3.3星,33.5%,0%,34%,4.3%,0%,5%,2,1.2%,0,4,2.3%,0,0%,0,0%,3,1.7%,0,0%,1,0.6%,57%
spring boot 升级，spring cloud alibaba 升级，nacos 升级,2025年07月11日 17:02:40,2,100%,0%,2星,2星,2星,0%,0%,0%,0%,0%,0%,0,0%,0,1,50%,0,0%,0,0%,0,0%,2,100%,0,0%,55.7%
8.3万亿市场，大厂不愿碰，3亿老人在等你,2026年05月17日 21:26:30,10,44.5%,3.2%,4.9星,5星,2星,30.8%,33.3%,28.6%,26.7%,0%,40%,0,0%,0,2,20%,0,0%,0,0%,0,0%,0,0%,0,0%,15.1%
WiFi信号能看穿墙壁！这不是科幻电影 最近发现一个叫RuView的开源项目，用WiFi路由器的无线电波就能感知人体,2026年05月17日 12:31:44,172,97.1%,3.2%,3.5星,2星,3.6星,48.3%,40%,48.5%,1.2%,0%,1.2%,0,0%,0,0,0%,0,0%,0,0%,2,1.2%,0,0%,0,0%,54.7%
⚠️ 你家的WiFi路由器，可能比你想象的更"聪明"硬件成本只要9美元，58K Star值得关注你觉得这个技术未来会用在哪里？,2026年05月17日 11:56:27,96,95.8%,2.6%,3.9星,2星,4星,48.6%,80%,47%,1%,0%,1.1%,0,0%,0,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,55%
本周 GitHub 涨星最猛的 15 个开源项目，AI 直接霸榜了,2026年05月17日 09:52:25,179,96.1%,4.5%,4.2星,2星,4.3星,42.4%,28.6%,42.9%,3.4%,14.3%,3.5%,0,0%,0,2,1.1%,0,0%,0,0%,4,2.2%,0,0%,0,0%,51.4%
今天 GitHub 八个项目涨星最猛，AI 工具直接霸榜了,2026年05月17日 09:44:45,156,97.4%,2.6%,3.3星,3星,3.4星,55.5%,25%,56.3%,2.6%,0%,2.7%,1,0.7%,0,2,1.3%,0,0%,0,0%,2,1.3%,0,0%,0,0%,57%
很多人不知道，GitHub 上有个项目，用 WiFi 信号就能实现空间感知，不需要摄像头。还有一个 19 万星的智能体,2026年05月16日 09:02:29,265,98%,3.2%,4.8星,4.6星,4.9星,39.5%,40%,39.5%,4.2%,0%,4.4%,1,0.4%,0,6,2.3%,0,0%,0,0%,5,1.9%,0,0%,0,0%,38.2%
注意了 ⚠️ 今天 GitHub 上这几个项目涨星特别猛,2026年05月15日 11:20:23,139,100%,0%,3.6星,2星,3.7星,52.1%,100%,51.7%,3.7%,0%,3.8%,0,0%,0,3,2.2%,0,0%,0,0%,2,1.4%,0,0%,0,0%,67.8%
GitHub今日热门开源项目速览  50万Star的编程宝库 + AI智能体框架 + 开源游戏引擎  关注我每天带你发现好项目,2026年05月13日 09:18:13,176,98.8%,2.3%,3.1星,2星,3.3星,33.5%,0%,34%,4.3%,0%,5%,2,1.2%,0,4,2.3%,0,0%,0,0%,3,1.7%,0,0%,1,0.6%,57%
spring boot 升级，spring cloud alibaba 升级，nacos 升级,2025年07月11日 17:02:40,2,100%,0%,2星,2星,2星,0%,0%,0%,0%,0%,0%,0,0%,0,1,50%,0,0%,0,0%,0,0%,2,100%,0,0%,55.7%